"Gellish";"English";"Version:";"9.0";"25-okt-16";"Base Ontology";"Taxonomic Dictionary of Formal English: Upper ontology section (core)";;;;;;;;;;;;;;;;;;;;;;
0;69;54;71;16;5;43;44;2;101;1;60;3;45;15;201;65;4;66;7;14;50;68;8;67;9;10;12;13
179;910036;"English";193259;"ontology";491285;"statement";1,1;1191;"conceptual assembly relation of a part in a whole individual physical object";1009667;5944;"has by definition as first role a";1,1;5491;"conceptually assembled part";;;;;;1045;"facts about conceptual relations";"accepted";;"16-jan-06";"16-jan-06";"Andries van Renssen";"Andries van Renssen"
180;910036;"English";193259;"ontology";491285;"statement";1,1;1191;"conceptual assembly relation of a part in a whole individual physical object";1003677;5945;"has by definition as second role a";1,1;3832;"conceptual assembled whole";;;;;;1045;"facts about conceptual relations";"accepted";;"11-mrt-99";"6-jan-05";"Andries van Renssen";"ISO 10303-221:2002"
178;910036;"English";193259;"ontology";491285;"statement";;1191;"conceptual assembly relation of a part in a whole individual physical object";1001152;1146;"is a kind of";;5807;"conceptual organization relation of an individual thing";"that specifies the possibility that assemblies of the specified kind can have components of the specified kind, within cardinality constraints.";"is a conceptual organization relation of an individual thing that specifies the possibility that assemblies of the specified kind can have components of the specified kind, within cardinality constraints.";;;;1045;"facts about conceptual relations";"accepted";;"24-jul-98";"28-apr-11";"Andries van Renssen";"ISO 10303-221:2002"
181;910036;"English";492014;"Gellish";491285;"statement";;1191;"can be an assembly for a";1004621;1986;"is an inverse phrase for";;1191;"conceptual assembly relation of a part in a whole individual physical object";;;;;;1045;"facts about conceptual relations";"accepted";;"23-jun-00";"23-jun-00";"Rob Moonen";"Andries van Renssen"
182;910036;"English";492014;"Gellish";491285;"statement";;1191;"can be an assembled part of a";1004622;6066;"is a base phrase for";;1191;"conceptual assembly relation of a part in a whole individual physical object";;;;;;1045;"facts about kinds of relations";"accepted";;"23-jun-00";"10-okt-12";"Andries van Renssen";"Andries van Renssen"
183;910036;"English";589830;"Gellish alternative";491285;"statement";;1191;"can have as assembled part a";1028206;1986;"is an inverse phrase for";;1191;"conceptual assembly relation of a part in a whole individual physical object";;;;;;1045;"facts about conceptual relations";"accepted";;"19-dec-13";"19-dec-13";"Andries van Renssen";"Andries van Renssen"
189;910036;"English";193259;"ontology";491285;"statement";;1204;"conceptual kind";1001199;1146;"is a kind of";;730066;"kind";"that can be used to classify individual things according to their conceptual nature (such as 'colour') but not according to the extent or magnitude of the classified nature (such as 'red' or '5 kg'). A conceptual class can have qualitative or quantitative classes as subtypes. For example: red is a qualitative subtype of colour.";;;;"E.g.: the concepts colour or temperature. The class red is conceptualized as a colour, but there is not an individual that is colour or is temperature, but there are individual things that are a colour (such as red) or a temperature (such as 300 K).";1049;"facts about concepts";"accepted";;"24-jul-98";"19-jul-13";"Andries van Renssen";"ISO 10303-221:2002"
190;910036;"English";193259;"ontology";491285;"statement";;1204;"conceptual class";1007441;1981;"is a synonym of";;1204;"conceptual kind";;;;;;1049;"facts about concepts";"accepted";;"31-jan-03";"31-jan-03";"Andries van Renssen";"Andries van Renssen"
193;910036;"English";193259;"ontology";491285;"statement";1,1;1224;"classification of a kind";1003489;5944;"has by definition as first role a";1,1;3815;"classified kind";;;;;;1045;"facts about conceptual relations";"accepted";;"11-mrt-99";"31-mrt-99";"ISO 10303-221 modelling team";"ISO 10303-221:2002"
194;910036;"English";193259;"ontology";491285;"statement";1,1;1224;"classification of a kind";1003547;5945;"has by definition as second role a";1,1;3816;"classifier for a kind";;;;;;1045;"facts about conceptual relations";"accepted";;"11-mrt-99";"31-mrt-99";"ISO 10303-221 modelling team";"ISO 10303-221:2002"
191;910036;"English";193259;"ontology";491285;"statement";;1224;"classification of a kind";1008946;1146;"is a kind of";;5052;"hierarchical relation between kinds of things";"that specifies that the classified class is classified by the classifying concept in the relation. For example the class 'individual thing' or one of its subtypes can be classified as being a class. For example, the concept 'building' can be classified as being a 'class' or 'kind of thing'. In other words: the concept building is a concept that denoted a kind of thing (and not an individual thing).";"is a hierarchical relation between kinds of things that specifies that the classified class is classified by the classifying concept in the relation. For example the class 'individual thing' or one of its subtypes can be classified as being a class. For example, the concept 'building' can be classified as being a 'class' or 'kind of thing'. In other words: the concept building is a concept that denoted a kind of thing (and not an individual thing).";;;;1045;"facts about conceptual relations";"accepted";;"12-dec-04";"13-nov-13";"Andries van Renssen";"Andries van Renssen"
192;910036;"English";193259;"ontology";491285;"statement";;1224;"classification of a kind";1028034;1146;"is a kind of";;5981;"classification relation";"that specifies that the classified class is classified by the classifying concept in the relation. For example the class 'individual thing' or one of its subtypes can be classified as being a class. For example, the concept 'building' can be classified as being a 'class' or 'kind of thing'. In other words: the concept building is a concept that denoted a kind of thing (and not an individual thing).";"is a classification relation that specifies that the classified class is classified by the classifying concept in the relation. For example the class 'individual thing' or one of its subtypes can be classified as being a class. For example, the concept 'building' can be classified as being a 'class' or 'kind of thing'. In other words: the concept building is a concept that denoted a kind of thing (and not an individual thing).";;;;1045;"facts about conceptual relations";"accepted";;"12-aug-13";"12-aug-13";"Andries van Renssen";"Andries van Renssen"
195;910036;"English";492014;"Gellish";491285;"statement";;1224;"is a particular";1004222;6066;"is a base phrase for";;1224;"classification of a kind";;;;;;1045;"facts about kinds of relations";"accepted";;"6-okt-99";"6-okt-99";"ISO 10303-221 modelling team";"ISO 10303-221:2002"
196;910036;"English";492014;"Gellish";491285;"statement";;1224;"is a classification of kind";1004664;1986;"is an inverse phrase for";;1224;"classification of a kind";;;;;;1045;"facts about conceptual relations";"accepted";;"23-jun-00";"18-dec-13";"Andries van Renssen";"Andries van Renssen"
197;910036;"English";193259;"ontology";491285;"statement";;1224;"classification of a class";1028144;1981;"is a synonym of";;1224;"classification of a kind";;;;;;1045;"facts about kinds of relations";"accepted";;"12-nov-13";"12-nov-13";"Andries van Renssen";"Andries van Renssen"
198;910036;"English";193259;"ontology";491285;"statement";;1224;"categorization of a kind";1028145;1981;"is a synonym of";;1224;"classification of a kind";;;;;;1045;"facts about kinds of relations";"accepted";;"12-nov-13";"12-nov-13";"Andries van Renssen";"Andries van Renssen"
205;910036;"English";193259;"ontology";491285;"statement";1,1;1225;"classification of an individual thing";1003840;5944;"has by definition as first role a";1,1;3821;"classified individual thing";;;;;;1048;"facts about conceptual relations between individual things and classes";"accepted";;"11-mrt-99";"6-jan-05";"Andries van Renssen";"ISO 10303-221:2002"
206;910036;"English";193259;"ontology";491285;"statement";1,1;1225;"classification of an individual thing";1003573;5945;"has by definition as second role a";1,1;3822;"classifier for an individual thing";;;;;;1048;"facts about conceptual relations between individual things and classes";"accepted";;"11-mrt-99";"6-jan-05";"Andries van Renssen";"ISO 10303-221:2002"
201;910036;"English";193259;"ontology";491285;"statement";;1225;"classification of an individual thing";1028035;1146;"is a kind of";;5981;"classification relation";"that specifies that the classified individual thing is classified by the classifying kind and thus has commonalities with others that are classified by that kind, which commonalities are specified by the definition of that kind.";"is a classification relation that specifies that the classified individual thing is classified by the classifying kind and thus has commonalities with others that are classified by that kind, which commonalities are specified by the definition of that kind.";;;;1048;"facts about conceptual relations between individual things and classes";"accepted";;"12-aug-13";"12-aug-13";"Andries van Renssen";"Andries van Renssen"
202;910036;"English";193259;"ontology";491285;"statement";;1225;"classification of an individual thing";1007363;1146;"is a kind of";;4719;"relation between an individual thing and a kind of thing";"that specifies that the classified individual thing is classified by the classifying kind and thus has commonalities with others that are classified by that kind, which commonalities are specified by the definition of that kind.";"is a relation between an individual thing and a kind of thing that specifies that the classified individual thing is classified by the classifying kind and thus has commonalities with others that are classified by that kind, which commonalities are specified by the definition of that kind.";;;;1048;"facts about conceptual relations between individual things and classes";"accepted";;"31-jan-03";"6-jan-05";"Andries van Renssen";"ISO 10303-221:2002, ISO 16354:2013, OWL"
203;910036;"English";193259;"ontology";491285;"statement";;1225;"classification of an individual thing";1027717;1146;"is a kind of";;5913;"intransitive relation";"that specifies that the classified individual thing is classified by the classifying kind and thus has commonalities with others that are classified by that kind, which commonalities are specified by the definition of that kind.";"is a intransitive relation that specifies that the classified individual thing is classified by the classifying kind and thus has commonalities with others that are classified by that kind, which commonalities are specified by the definition of that kind.";;;;1045;"facts about conceptual relations";"accepted";;"8-jan-13";"8-jan-13";"Andries van Renssen";"Andries van Renssen"
204;910036;"English";193259;"ontology";491285;"statement";;1225;"classification of an individual thing";1027718;1146;"is a kind of";;5912;"antisymmetric relation";"that specifies that the classified individual thing is classified by the classifying kind and thus has commonalities with others that are classified by that kind, which commonalities are specified by the definition of that kind.";"is a antisymmetric relation that specifies that the classified individual thing is classified by the classifying kind and thus has commonalities with others that are classified by that kind, which commonalities are specified by the definition of that kind.";;;;1045;"facts about conceptual relations";"accepted";;"8-jan-13";"8-jan-13";"Andries van Renssen";"Andries van Renssen"
207;910036;"English";492014;"Gellish";491285;"statement";;1225;"is classified as a";1001000;6066;"is a base phrase for";;1225;"classification of an individual thing";;;;;;1048;"facts about kinds of relations between individual things and kinds";"accepted";;"6-okt-99";"6-okt-99";"Andries van Renssen";"ISO 10303-221:2002"
208;910036;"English";589830;"Gellish alternative";491285;"statement";;1225;"is an";1001001;6066;"is a base phrase for";;1225;"classification of an individual thing";;;;;;1048;"facts about kinds of relations between individual things and kinds";"accepted";;"6-okt-99";"6-okt-99";"ISO 10303-221 modelling team";"ISO 10303-221:2002"
209;910036;"English";589830;"Gellish alternative";491285;"statement";;1225;"is a";1004221;6066;"is a base phrase for";;1225;"classification of an individual thing";;;;;;1048;"facts about kinds of relations between individual things and kinds";"accepted";;"6-okt-99";"6-okt-99";"ISO 10303-221 modelling team";"ISO 10303-221:2002"
210;910036;"English";492014;"Gellish";491285;"statement";;1225;"is a classifier of";1004598;1986;"is an inverse phrase for";;1225;"classification of an individual thing";;;;;;1048;"facts about conceptual relations between individual things and classes";"accepted";;"23-jun-00";"23-jun-00";"Rob Moonen";"Andries van Renssen"
211;910036;"English";589830;"Gellish alternative";491285;"statement";;1225;"is classified as";1006817;6066;"is a base phrase for";;1225;"classification of an individual thing";;;;;"For example used for classification of occurrences, such as: a particular occurrence O-1 <is classified as> heating.";1048;"facts about kinds of relations between individual things and kinds";"accepted";;"25-jul-02";"25-jul-02";"Andries van Renssen";"ISO 10303-221:2002"
224;910036;"English";193259;"ontology";491285;"statement";1,1;1227;"being an element in a collection of individual things";1007806;5945;"has by definition as second role a";1,1;5050;"collecting individual plurality";;;;;;1045;"facts about conceptual relations";"accepted";;"8-mei-03";"6-jan-05";"Andries van Renssen";"Andries van Renssen"
225;910036;"English";193259;"ontology";491285;"statement";1,1;1227;"being an element in a collection of individual things";1008956;5944;"has by definition as first role a";1,1;5327;"collected individual thing";;;;;;1045;"facts about conceptual relations";"accepted";;"14-dec-04";"6-jan-05";"Andries van Renssen";"Andries van Renssen"
220;910036;"English";193259;"ontology";491285;"statement";;1227;"being an element in a collection of individual things";1001306;1146;"is a kind of";;2846;"collection relation";"that has a plural individual as the whole, where the part does not play a particular role within the whole.";"is a collection relation that has a plural individual as the whole, where the part does not play a particular role within the whole.";;;;1045;"facts about conceptual relations";"accepted";;"24-jul-98";"27-apr-11";"Andries van Renssen";"ISO 10303-221:2002"
221;910036;"English";589830;"Gellish alternative";491285;"statement";;1227;"is collected in plural individual thing";1004236;6066;"is a base phrase for";;1227;"being an element in a collection of individual things";;;;;;1045;"facts about kinds of relations";"accepted";;"6-okt-99";"6-okt-99";"ISO 10303-221 modelling team";"ISO 10303-221:2002"
222;910036;"English";589830;"Gellish alternative";491285;"statement";;1227;"is a plural individual for";1004670;1986;"is an inverse phrase for";;1227;"being an element in a collection of individual things";;;;;;1045;"facts about conceptual relations";"accepted";;"23-jun-00";"4-dec-02";"Andries van Renssen";"Andries van Renssen"
223;910036;"English";589830;"Gellish alternative";491285;"statement";;1227;"is a collection of individual things with as element";1006198;1986;"is an inverse phrase for";;1227;"being an element in a collection of individual things";;;;;;1045;"facts about conceptual relations";"accepted";;"23-jun-00";"8-apr-10";"Andries van Renssen";"Andries van Renssen"
226;910036;"English";492014;"Gellish";491285;"statement";;1227;"is an element of";1009815;6066;"is a base phrase for";;1227;"being an element in a collection of individual things";;;;;;1045;"facts about kinds of relations";"accepted";;"6-okt-99";"4-dec-02";"Andries van Renssen";"ISO 10303-221:2002"
227;910036;"English";492014;"Gellish";491285;"statement";;1227;"has as element";1026679;1986;"is an inverse phrase for";;1227;"being an element in a collection of individual things";;;;;;1045;"facts about conceptual relations";"accepted";;"12-feb-10";"12-feb-10";"Andries van Renssen";"Andries van Renssen"
231;910036;"English";193259;"ontology";491285;"statement";1,1;1228;"conceptual collection relation of an individual thing";1003652;5945;"has by definition as second role a";1,1;3834;"conceptual collected whole";;;;;;1045;"facts about conceptual relations";"accepted";;"11-mrt-99";"6-jan-05";"Andries van Renssen";"ISO 10303-221:2002"
230;910036;"English";193259;"ontology";491285;"statement";;1228;"conceptual collection relation of an individual thing";1001307;1146;"is a kind of";;1261;"conceptual composition relation of an individual thing";"that specifies that any collection of the specified kind can be composed of elements of the specified kind, under the constraint that an element of the specified kind may not be the same as a collection of the specified kind. In other words a collection cannot be an element of itself.";"is a conceptual composition relation of an individual thing that specifies that any collection of the specified kind can be composed of elements of the specified kind, under the constraint that an element of the specified kind may not be the same as a collection of the specified kind. In other words a collection cannot be an element of itself.";;;;1045;"facts about conceptual relations";"accepted";;"24-jul-98";"6-jan-05";"Andries van Renssen";"ISO 10303-221:2002"
232;910036;"English";492014;"Gellish";491285;"statement";;1228;"can be an element of a";1004160;6066;"is a base phrase for";;1228;"conceptual collection relation of an individual thing";;;;;;1045;"facts about kinds of relations";"accepted";;"6-okt-99";"6-okt-99";"ISO 10303-221 modelling team";"ISO 10303-221:2002"
233;910036;"English";589830;"Gellish alternative";491285;"statement";;1228;"can be a collection with as element a";1004673;1986;"is an inverse phrase for";;1228;"conceptual collection relation of an individual thing";;;;;;1045;"facts about conceptual relations";"accepted";;"23-jun-00";"18-feb-10";"Andries van Renssen";"Andries van Renssen"
234;910036;"English";492014;"Gellish";491285;"statement";;1228;"can have as element a";1026682;1986;"is an inverse phrase for";;1228;"conceptual collection relation of an individual thing";;;;;;1045;"facts about conceptual relations";"accepted";;"18-feb-10";"18-feb-10";"Andries van Renssen";"Andries van Renssen"
236;910036;"English";193259;"ontology";491285;"statement";;1229;"qualitative aspect";1001309;1146;"is a kind of";;4947;"qualitative kind";"that is a kind of aspect with a particular qualitative or quantitative value that is intended to qualify aspects. It can be a particular value, or a range or a collection of explicit types (allowed values for individual aspects). Examples of qualitative aspects are: red";"is a qualitative kind that is a kind of aspect with a particular qualitative or quantitative value that is intended to qualify aspects. It can be a particular value, or a range or a collection of explicit types (allowed values for individual aspects). Examples of qualitative aspects are: red, dry and a piece of text (qualitative information). Examples of quantitative aspect are: '½', '3 kg' and '6 at the scale of Richter'.";;;;1049;"facts about concepts";"accepted";;"3-dec-98";"9-feb-04";"Andries van Renssen";"Andries van Renssen"
237;910036;"English";193259;"ontology";491285;"statement";;1229;"qualitative value";1007440;1981;"is a synonym of";;1229;"qualitative aspect";;;;;;1049;"facts about concepts";"accepted";;"31-jan-03";"21-dec-12";"Andries van Renssen";"Andries van Renssen"
238;910036;"English";193259;"ontology";491285;"statement";;1229;"defined aspect";1007392;1981;"is a synonym of";;1229;"qualitative aspect";;;;;;1049;"facts about concepts";"accepted";;"3-dec-98";"9-feb-04";"Andries van Renssen";"Andries van Renssen"
242;910036;"English";193259;"ontology";491285;"statement";1,1;1231;"conceptual binary relation between things of specified kinds";1007618;5944;"has by definition as first role a";1,1;5002;"conceptual relator";;;;;;1045;"facts about conceptual relations";"accepted";;"14-apr-03";"17-mrt-04";"Andries van Renssen";"Andries van Renssen"
243;910036;"English";193259;"ontology";491285;"statement";1,1;1231;"conceptual binary relation between things of specified kinds";1007619;5945;"has by definition as second role a";1,1;4706;"conceptually related";;;;;;1045;"facts about conceptual relations";"accepted";;"14-apr-03";"17-mrt-04";"Andries van Renssen";"Andries van Renssen"
239;910036;"English";193259;"ontology";491285;"statement";;1231;"conceptual binary relation between things of specified kinds";1004638;1146;"is a kind of";;4698;"conceptual relation between things of specified kinds";"that relates two kinds of things by a conceptual relation of a specified kind specifying that individual things of those kinds can have a possible relationship of a kind that is a relatization of the specified conceptual kind. A related kind can be either a conceptual or a qualitative (including quantitative) kind. Note that which kind of relation can be a realization of a conceptual kind of relation is specified separately.";;;;;1045;"facts about conceptual relations";"accepted";;"6-nov-02";"19-jul-13";"Andries van Renssen";"ISO 10303-221:2002"
240;910036;"English";193259;"ontology";491285;"statement";;1231;"conceptual binary relation between things of specified kinds";1027849;1146;"is a kind of";;5937;"binary relation between kinds of things";"that relates two kinds of things by a conceptual relation of a specified kind specifying that individual things of those kinds can have a possible relationship of a kind that is a relatization of the specified conceptual kind. A related kind can be either a conceptual or a qualitative (including quantitative) kind. Note that which kind of relation can be a realization of a conceptual kind of relation is specified separately.";;;;;1045;"facts about conceptual relations";"accepted";;"18-jul-13";"18-jul-13";"Andries van Renssen";"Andries van Renssen"
241;910036;"English";193259;"ontology";491285;"statement";;1231;"conceptual binary relation";1027850;1981;"is a synonym of";;1231;"conceptual binary relation between things of specified kinds";;;;;;1045;"facts about kinds of relations";"accepted";;"18-jul-13";"18-jul-13";"Andries van Renssen";"Andries van Renssen"
244;910036;"English";492014;"Gellish";491285;"statement";;1231;"can be related to a";1009428;6066;"is a base phrase for";;1231;"conceptual binary relation between things of specified kinds";;;;;;1045;"facts about kinds of relations";"accepted";;"16-aug-05";"21-mei-10";"Andries van Renssen";"Andries van Renssen"
245;910036;"English";492014;"Gellish";491285;"statement";;1231;"can be related with a";1026220;1986;"is an inverse phrase for";;1231;"conceptual binary relation between things of specified kinds";;;;;;1045;"facts about conceptual relations";"accepted";;"17-okt-07";"21-mei-10";"Andries van Renssen";"Andries van Renssen"
246;910036;"English";193259;"ontology";491285;"statement";;1231;"generic possibility for a binary relation";1028146;1981;"is a synonym of";;1231;"conceptual binary relation between things of specified kinds";;;;;;1045;"facts about kinds of relations";"accepted";;"13-nov-13";"13-nov-13";"Andries van Renssen";"Andries van Renssen"
249;910036;"English";193259;"ontology";491285;"statement";;1243;"conceptual probabilistic relation";1001338;1146;"is a kind of";;4698;"conceptual relation between things of specified kinds";"that indicates a nature of probabilistic relations.";;;;;1045;"facts about conceptual relations";"accepted";;"24-jul-98";"19-nov-98";"ISO 10303-221 modelling team";"ISO 10303-221:2002"
251;910036;"English";193259;"ontology";491285;"statement";1,1;1254;"composition of an occurrence";1002869;5945;"has by definition as second role a";1,1;3997;"whole occurrence";;;;;;1047;"facts about conceptual relations between individual things";"accepted";;"11-mrt-99";"6-jan-05";"Andries van Renssen";"ISO 10303-221:2002"
252;910036;"English";193259;"ontology";491285;"statement";1,1;1254;"composition of an occurrence";1002871;5944;"has by definition as first role a";1,1;3998;"partial occurrence";;;;;;1047;"facts about conceptual relations between individual things";"accepted";;"11-mrt-99";"6-jan-05";"Andries van Renssen";"ISO 10303-221:2002"
250;910036;"English";193259;"ontology";491285;"statement";;1254;"composition of an occurrence";1001362;1146;"is a kind of";;1260;"composition relation of an individual thing";"that indicates that a partial occurrence is a part of a more encompassing occurrence. ";;;;;1047;"facts about conceptual relations between individual things";"accepted";;"18-nov-98";"6-jan-05";"Andries van Renssen";"ISO 10303-221:2002"
256;910036;"English";193259;"ontology";491285;"statement";1,1;1255;"conceptual composition of an occurrence";1003506;5945;"has by definition as second role a";1,1;4003;"conceptual whole occurrence";;;;;;1045;"facts about conceptual relations";"accepted";;"11-mrt-99";"6-jan-05";"Andries van Renssen";"ISO 10303-221:2002"
257;910036;"English";193259;"ontology";491285;"statement";1,1;1255;"conceptual composition of an occurrence";1003507;5944;"has by definition as first role a";1,1;4004;"conceptual part of an occurrence";;;;;;1045;"facts about conceptual relations";"accepted";;"11-mrt-99";"6-jan-05";"Andries van Renssen";"ISO 10303-221:2002"
